category,name,url
Instituciones-UT,Universidad Tecnológica de Torreón,http://www.utt.edu.mx/
Instituciones-UT,Universidad Tecnológica de Tula-Tepeji,http://www.uttt.edu.mx/
Instituciones-UT,Universidad Tecnológica de Tulancingo,https://www.utectulancingo.edu.mx/
Instituciones-UT,Universidad Tecnológica de Xicotepec de Juárez,https://utxicotepec.edu.mx/
Instituciones-UT,Universidad Tecnológica del Centro,http://www.utcentro.edu.mx/
Instituciones-UT,Universidad Tecnológica del Centro de Veracruz,http://www.utcv.edu.mx/
Instituciones-UT,Universidad Tecnológica del Estado de Zacatecas,http://www.utzac.edu.mx/
Instituciones-UT,Universidad Tecnológica del Mar de Tamaulipas Bicentenario,http://www.utmart.edu.mx/
Instituciones-UT,Universidad Tecnológica del Mayab,http://www.utdelmayab.edu.mx/
Instituciones-UT,Universidad Tecnológica del Norte de Aguascalientes,http://www.utna.edu.mx/
Instituciones-UT,Universidad Tecnológica del Norte de Coahuila,https://www.utnc.edu.mx/
Instituciones-UT,Universidad Tecnológica del Norte de Guanajuato,http://www.utng.edu.mx/
Instituciones-UT,Universidad Tecnológica del Poniente,http://www.utponiente.edu.mx/
Instituciones-UT,Universidad Tecnológica del Sur del Estado de Morelos,http://www.utsem-morelos.edu.mx/
Instituciones-UT,Universidad Tecnológica del Sur del Estado de México,http://www.utsem.edu.mx/
Instituciones-UT,Universidad Tecnológica del Sureste de Veracruz,http://www.utsv.com.mx/
Instituciones-UT,Universidad Tecnológica del Suroeste de Guanajuato,http://www.utsoe.edu.mx/
Instituciones-UT,Universidad Tecnológica del Usumacinta,http://www.utusumacinta.edu.mx/
Instituciones-UT,Universidad Tecnológica del Valle de Toluca,http://utvtol.org.mx/
Instituciones-UT,Universidad Tecnológica del Valle del Mezquital,http://www.utvm.edu.mx/
Instituciones-UT,Universidad Tecnológica El Retoño,https://utr.edu.mx/
Instituciones-UT,Universidad Tecnológica Gral. Mariano Escobedo,http://www.ute.edu.mx/
Instituciones-UT,Universidad Tecnológica Linares,http://www.utl.edu.mx/
Instituciones-UT,Universidad Tecnológica Metropolitana,http://www.utmetropolitana.edu.mx/
Instituciones-UT,Universidad Tecnológica Regional del Sur,http://www.utregionaldelsur.edu.mx/
Instituciones-UT,Plataforma Nacional de Transparencia,https://consultapublicamx.inai.org.mx/vut-web/
Instituciones-IT,Centro Nacional de Investigación y Desarrollo Tecnológico,http://www.cenidet.edu.mx/
Instituciones-IT,Centro Interdisciplinario de Investigación y Docencia en Educación Técnica,http://www.ciidet.edu.mx/
Instituciones-IT,Centro Regional de Optimización y Desarrollo de Equipo Celaya,http://www.crodecelaya.edu.mx/
Instituciones-IT,Centro Regional de Optimización y Desarrollo de Equipo Chihuahua,http://www.crodechihuahua.edu.mx/
Instituciones-IT,Centro Regional de Optimización y Desarrollo de Equipo Mérida,https://crodemerida.tecnm.mx/
Instituciones-IT,Centro Regional de Optimización y Desarrollo de Equipo Orizaba,http://www.crodeorizaba.edu.mx/
Instituciones-IT,Instituto Tecnológico de Acapulco,http://www.it-acapulco.edu.mx/
Instituciones-IT,Instituto Tecnológico de Agua Prieta,http://www.itap.edu.mx/
Instituciones-IT,Instituto Tecnológico de Aguascalientes,http://www.ita.mx/
Instituciones-IT,Instituto Tecnológico de Altamira,https://www.altamira.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Altiplano de Tlaxcala,http://altiplano.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Álvaro Obregón,http://www.itao.edu.mx/
Instituciones-IT,Instituto Tecnológico de Apizaco,http://www.itapizaco.edu.mx/
Instituciones-IT,Instituto Tecnológico de Atitalaquia,http://www.itatitalaquia.edu.mx/
Instituciones-IT,Instituto Tecnológico de Bahía de Banderas,http://www.itbahiadebanderas.edu.mx/
Instituciones-IT,Instituto Tecnológico de Boca del Rio,https://bdelrio.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Campeche,http://www.itcampeche.edu.mx/
Instituciones-IT,Instituto Tecnológico de Cancún,http://www.itcancun.edu.mx/
Instituciones-IT,Instituto Tecnológico de Celaya,http://www.itc.mx/
Instituciones-IT,Instituto Tecnológico de Cerro Azul,http://www.itcerroazul.edu.mx/
Instituciones-IT,Instituto Tecnológico de Chetumal,http://www.itchetumal.edu.mx/
Instituciones-IT,Instituto Tecnológico de Chihuahua,https://itchihuahua.mx/
Instituciones-IT,Instituto Tecnológico de Chihuahua II,https://chihuahua2.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Chilpancingo,https://chilpancingo.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de China,http://www.itchina.edu.mx/
Instituciones-IT,Instituto Tecnológico de Ciudad Altamirano,http://www.italtamirano.edu.mx/
Instituciones-IT,Instituto Tecnológico de Ciudad Cuauhtémoc,https://www.cdcuauhtemoc.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Ciudad Guzmán,https://www.cdguzman.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Ciudad Jiménez,http://www.cdjimenez.tecnm.mx/index.html
Instituciones-IT,Instituto Tecnológico de Ciudad Juárez,http://cdjuarez.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Ciudad Madero,https://www.cdmadero.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Ciudad Valles,http://www.tecvalles.mx/web/
Instituciones-IT,Instituto Tecnológico de Ciudad Victoria,http://www.itvictoria.edu.mx/
Instituciones-IT,Instituto Tecnológico de Colima,http://www.itcolima.edu.mx/
Instituciones-IT,Instituto Tecnológico de Comitán,http://www.itcomitan.edu.mx/
Instituciones-IT,Instituto Tecnológico de Comitancillo,https://comitancillo-tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Conkal,https://conkal.tecnm.mx/index.php/es/
Instituciones-IT,Instituto Tecnológico de Costa Grande,https://www.costagrande.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Cuautla,https://www.cuautla.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Culiacán,http://www.itculiacan.edu.mx/
Instituciones-IT,Instituto Tecnológico de Durango,http://www.itdurango.edu.mx/
Instituciones-IT,Instituto Tecnológico de El Llano Aguascalientes,http://www.itllano.edu.mx/
Instituciones-IT,Instituto Tecnológico de El Salto,http://www.itelsalto.edu.mx/
Instituciones-IT,Instituto Tecnológico de Ensenada,https://www.ensenada.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Frontera Comalapa,https://fcomalapa.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Guaymas,https://itguaymas.edu.mx/
Instituciones-IT,Instituto Tecnológico de Gustavo A. Madero,https://www.gamadero.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Gustavo A. Madero II,https://www.gamadero2.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Hermosillo,http://www.ith.mx/
Instituciones-IT,Instituto Tecnológico de Huatabampo,http://www.ithua.edu.mx/
Instituciones-IT,Instituto Tecnológico de Huejutla,https://huejutla.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Huimanguillo,https://huimanguillo.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Iguala,http://www.itiguala.edu.mx/
Instituciones-IT,Instituto Tecnológico de Istmo,http://www.itistmo.edu.mx/
Instituciones-IT,Instituto Tecnológico de Iztapalapa,https://www.iztapalapa.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Iztapalapa II,https://iztapalapa2.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Iztapalapa III,https://iztapalapa3.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Jiquilpan,https://www.itjiquilpan.edu.mx/
Instituciones-IT,Instituto Tecnológico de La Chontalpa,http://itchontalpa.edu.mx/
Instituciones-IT,Instituto Tecnológico de La Cuenca del Papaloapan,http://cpapaloapan.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de La Laguna,http://www.itlalaguna.edu.mx/
Instituciones-IT,Instituto Tecnológico de La Paz,http://www.itlp.edu.mx/
Instituciones-IT,Instituto Tecnológico de La Piedad,https://piedad.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de La Zona Maya,http://www.itzonamaya.edu.mx/
Instituciones-IT,Instituto Tecnológico de La Zona Olmeca,https://zolmeca.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Lázaro Cárdenas,http://web.itlac.mx/
Instituciones-IT,Instituto Tecnológico de León,http://www.itleon.edu.mx/
Instituciones-IT,Instituto Tecnológico de Lerma,https://lerma.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Linares,http://www.itlinares.edu.mx/
Instituciones-IT,Instituto Tecnológico de Los Mochis,https://www.mochis.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Matamoros,https://www.matamoros.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Matehuala,https://matehuala.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Mazatlán,https://mazatlan.tecnm.mx/
Instituciones-IT,Instituto Tecnológico de Mérida,http://www.itmerida.mx/
Instituciones-IT,Instituto Tecnológico de Mexicali,http://www.itmexicali.edu.mx/
Instituciones-IT,Instituto Tecnológico de Milpa Alta,https://itmilpaalta.edu.mx/
