university_name,university_url
Instituto Tecnológico de Reynosa,http://www.tecreynosa.edu.mx/
Instituto Tecnológico de Roque,http://www.itroque.edu.mx/
Instituto Tecnológico de Salina Cruz,http://www.itsalinacruz.edu.mx/
Instituto Tecnológico de Saltillo,http://www.its.mx/
Instituto Tecnológico de San Juan del Rio,http://www.itsanjuan.edu.mx/
Instituto Tecnológico de San Luis Potosí,http://www.itslp.edu.mx/itslp2/
Instituto Tecnológico de San Marcos,http://www.itsmgro.edu.mx/
Instituto Tecnológico de Sinaloa de Leyva,http://itsinaloadeleyva.com.mx/academico
Instituto Tecnológico de Sur De Nayarit,http://www.itsurdenayarit.edu.mx/
Instituto Tecnológico de Tapachula,http://www.portal.ittapachula.edu.mx/
Instituto Tecnológico de Tecomatlán,http://www.itapuebla.edu.mx/
Instituto Tecnológico de Tehuacán,http://www.ittehuacan.edu.mx/
Instituto Tecnológico de Tizimín,http://www.ittizimin.edu.mx/
Instituto Tecnológico de Tláhuac,http://www.ittlahuac.edu.mx/
Instituto Tecnológico de Tláhuac II,http://www.ittlahuac2.edu.mx/
Instituto Tecnológico de Tláhuac III,http://www.ittlahuac3.edu.mx/
Instituto Tecnológico de Tlajomulco,http://www.ittlajomulco.edu.mx/
Instituto Tecnológico de Tlalnepantla,http://www.ittla.edu.mx/
Instituto Tecnológico de Tlalpan,http://www.ittlalpan.edu.mx/
Instituto Tecnológico de Tlaxiaco,http://www.ittlaxiaco.edu.mx/
Instituto Tecnológico de Toluca,http://www.ittoluca.edu.mx/
Instituto Tecnológico de Torreón,http://www.ittorreon.edu.mx/
Instituto Tecnológico de Tuxtepec,http://www.ittux.edu.mx/
Instituto Tecnológico de Tuxtla Gutiérrez,https://www.ittg.edu.mx/
Instituto Tecnológico de Úrsulo Galván,http://www.itursulogalvan.edu.mx/
Instituto Tecnológico de Valle de Morelia,http://www.itvallemorelia.edu.mx/
Instituto Tecnológico de Valle de Oaxaca,http://www.itvalleoaxaca.edu.mx/
Instituto Tecnológico de Valle del Guadiana,http://www.itvalledelguadiana.edu.mx/
Instituto Tecnológico de Valle del Yaqui,http://www.itvalledelyaqui.edu.mx/
Instituto Tecnológico de Veracruz,http://www.itver.edu.mx/
Instituto Tecnológico de Villahermosa,http://www.itvillahermosa.edu.mx/
Instituto Tecnológico de Zacatecas,http://www.itzacatecas.edu.mx/
Instituto Tecnológico de Zacatepec,http://www.itzacatepec.edu.mx/
Instituto Tecnológico de Zitácuaro,http://www.itzitacuaro.edu.mx/
Instituto Tecnológico Superior de Acatlán de Osorio,http://www.itsao.edu.mx/
Instituto Tecnológico Superior de Acayucan,http://www.itsacayucan.edu.mx/
Instituto Tecnológico Superior de Álamo Temapache,http://www.itsalamo.edu.mx/
Instituto Tecnológico Superior de Apatzingán,http://www.itsa.edu.mx/
Instituto Tecnológico Superior de Arandas,http://www.tecarandas.edu.mx/
Instituto Tecnológico Superior de Atlixco,http://www.itsatlixco.edu.mx/
Instituto Tecnológico Superior de Cananea,http://www.teccan.edu.mx/
Instituto Tecnológico Superior de Centla,http://www.itscentla.edu.mx/
Instituto Tecnológico Superior de Champotón,http://www.itescham.edu.mx/
Instituto Tecnológico Superior de Chapala,http://www.itschapala.edu.mx/
Instituto Tecnológico Superior de Chicontepec,http://www.itschicontepec.edu.mx/
Instituto Tecnológico Superior de Cintalapa,http://www.tecdecintalapa.edu.mx/
Instituto Tecnológico Superior de Ciudad Acuña,http://www.tecnologicodeacuna.edu.mx/
Instituto Tecnológico Superior de Ciudad Constitución,http://www.itscc.edu.mx/
Instituto Tecnológico Superior de Ciudad Hidalgo,http://www.itsch.edu.mx/
Instituto Tecnológico Superior de Ciudad Serdán,http://www.tecserdan.edu.mx/
Tecnológico de Estudios Superiores de Coacalco,https://tesco.occ.com.mx/Bolsa_Trabajo
Instituto Tecnológico Superior de Coalcomán,http://www.itscoalcoman.edu.mx/
Instituto Tecnológico Superior de Coatzacoalcos,http://www.itesco.edu.mx/
Instituto Tecnológico Superior de Cocula,http://www.itscocula.edu.mx/
Instituto Tecnológico Superior de Comalcalco,http://www.itsc.edu.mx/
Instituto Tecnológico Superior de Cosamaloapan,http://www.itsco.edu.mx/
Instituto Tecnológico Superior de Ébano,http://www.tecdeebano.com/
Instituto Tecnológico Superior de El Grullo,http://itselgrullo.edu.mx/
Instituto Tecnológico Superior de El Dorado,http://www.itseldorado.edu.mx/
Instituto Tecnológico Superior de Escárcega,http://www.itsescarcega.edu.mx/
Instituto Tecnológico Superior de Felipe Carrillo Puerto,http://www.itscarrillopuerto.edu.mx/
Instituto Tecnológico Superior de Fresnillo,http://www.itsf.edu.mx/home.php
Instituto Tecnológico Superior de Guanajuato,http://www.itesg.edu.mx/
Instituto Tecnológico Superior de Guasave,http://www.itsguasave.edu.mx/
Instituto Tecnológico Superior de Huauchinango,http://www.itsh.edu.mx/
Instituto Tecnológico Superior de Huetamo,http://www.itshuetamo.edu.mx/
Instituto Tecnológico Superior de Huichapan,http://www.iteshu.edu.mx/
Instituto Tecnológico Superior de Irapuato,http://www.itesi.edu.mx/
Instituto Tecnológico Superior de Jerez,http://www.tecjerez.edu.mx/
Instituto Tecnológico Superior de Jesús Carranza,http://www.itsjc.edu.mx/
Instituto Tecnológico Superior de Juan Rodríguez Clara,http://www.itsjuanrodriguezclara.edu.mx/
Instituto Tecnológico Superior de La Costa Chica,http://www.tscch.edu.mx/
Instituto Tecnológico Superior de La Huerta,http://www.itslahuerta.edu.mx/
Instituto Tecnológico Superior de La Montaña,http://www.itsm-tlapa.edu.mx/
Instituto Tecnológico Superior de La Región de Los Llanos,http://www.itsrll.edu.mx/
Instituto Tecnológico Superior de La Región Sierra,http://www.itss.edu.mx/
Instituto Tecnológico Superior de La Sierra Negra de Ajalpan,http://www.itssna.edu.mx/
Instituto Tecnológico Superior de La Sierra Norte de Puebla,http://www.itssnp.edu.mx/
Instituto Tecnológico Superior de Lagos de Moreno,http://www.teclagos.edu.mx/
Instituto Tecnológico Superior de Las Choapas,http://www.itschoapas.edu.mx/
Instituto Tecnológico Superior de Libres,http://www.itslibres.edu.mx/
Instituto Tecnológico Superior de Loreto,http://www.itsloreto.edu.mx/
Instituto Tecnológico de Estudios Superiores de Los Cabos,http://www.itesloscabos.edu.mx/
Instituto Tecnológico Superior de Los Reyes,http://www.itslr.edu.mx/
Instituto Tecnológico Superior de Los Ríos,http://www.itsr.edu.mx/
Instituto Tecnológico Superior de Macuspana,http://itsmacuspana.edu.mx/
Instituto Tecnológico Superior de Mante,http://www.itsmante.edu.mx/
Instituto Tecnológico Superior de Martínez de La Torre,http://www.tecmartinez.edu.mx/
Instituto Tecnológico Superior de Mascota,http://www.itsmascota.edu.mx/
Instituto Tecnológico Superior de Misantla,http://www.itsm.edu.mx/
Instituto Tecnológico Superior de Monclova,http://www.itsmva.edu.mx/
Instituto Tecnológico Superior de Motul,http://www.itsmotul.edu.mx/
Instituto Tecnológico Superior de Mulegé,http://www.itesme.edu.mx/
Instituto Tecnológico Superior de Múzquiz,http://www.tecmuzquiz.edu.mx/
Instituto Tecnológico Superior de Naranjos,http://www.itsna.edu.mx/
Instituto Tecnológico Superior de Nochistlán,http://www.itsn.edu.mx/
Instituto Tecnológico Superior de Nuevo Casas Grandes,http://www.itsncg.edu.mx/
Instituto Tecnológico Superior de Occidente del Estado de Hidalgo,http://www.itsoeh.edu.mx/
Instituto Tecnológico Superior de Oriente del Estado de Hidalgo,http://www.itesa.edu.mx/
Instituto Tecnológico Superior de P´Urhépecha,http://its-purhepecha.edu.mx/
Instituto Tecnológico Superior de Pánuco,http://tecnologicodepanuco.com/
Instituto Tecnológico Superior de Pátzcuaro,http://www.itspa.edu.mx/
Instituto Tecnológico Superior de Perote,http://www.itsperote.edu.mx/index/
Instituto Tecnológico Superior de Poza Rica,http://www.itspozarica.edu.mx/
Instituto Tecnológico Superior de Progreso,http://www.itsprogreso.edu.mx/
Instituto Tecnológico Superior de Puerto Peñasco,http://www.itspp.edu.mx/
Instituto Tecnológico Superior de Puerto Vallarta,http://www.tecvallarta.edu.mx/
Instituto Tecnológico Superior de Puruándiro,http://www.tecpuruandiro.edu.mx/
